Movie Name,IMDb ID
Tanu Weds Manu,tt1694542
Desi Boyz,tt1985981
Satya (1998 film),tt3431296
Saaho,tt6836936
Heyy Babyy,tt0806088
Jaane Bhi Do Yaaro,tt0085743
Karan Arjun,tt0113526
Race (2008 film),tt2317740
Paheli,tt0451850
Yes Boss,tt0120540
Dhobi Ghat,tt1433810
Chachi 420,tt0233422
Kites,tt1198101
Housefull (2010 film),null
Dhamaal,tt0845448
Vaastav: The Reality,tt0220832
Aankhen (2002 film),tt7038898
Madaari,tt5713232
Hungama (2003 film),null
NH10,tt3742284
Raman Raghav 2.0,tt5662932
Ajab Prem Ki Ghazab Kahani,tt1252596
Peepli Live,tt1447508
October (2018 film),tt17481990
MSG: The Messenger,tt4107858
Fashion (2008 film),tt1305076
Brothers (2015 film),tt4851714
Paa,tt1532957
Kesari,tt6264938
Roja,tt0105271
Johnny Gaddaar,tt1077248
Go Goa Gone,tt2436516
Irudhi Suttru,tt5310090
Hey Ram,tt0222012
Bheja Fry,tt1014672
Te3n,tt4814290
Tees Maar Khan (2010 film),tt1572311
Chupke Chupke,tt14521600
Table No. 21,tt2229842
Ghulam,tt0190419
Shaadi Mein Zaroor Aana,tt7469726
The Ghazi Attack,tt6299040
Partner (2007 film),tt1543644
Don (1978 film),tt3772932
No One Killed Jessica,tt1734110
Maine Pyar Kiya,tt0100095
Gold (2018 film),tt9314718
Humpty Sharma Ki Dulhania,tt3678938
Life in a... Metro,tt0800956
Tere Bin Laden,tt1629391
No Entry,tt0451833
Mohenjo Daro,tt3859980
Qayamat Se Qayamat Tak,tt0095936
Boss (2013 Hindi film),tt19623554
Fukrey,tt26445483
New York (2009 film),tt0220924
Mardaani,tt3495000
Billu,tt1230448
Karthik Calling Karthik,tt1373156
Bachna Ae Haseeno,tt1182972
Karwaan,tt7919680
Gunda (1998 film),tt3431296
Ishqiya,tt1345777
Gadar: Ek Prem Katha,tt0284137
Bhagam Bhag,tt0805184
Mary Kom,tt3001638
Deewaar,tt0072860
Ishq (1997 film),tt29194990
Shivaay,tt3771536
Shanghai (2012 film),null
Kalank,tt6988116
Waqt: The Race Against Time,tt0390614
Aitraaz,tt0418460
Luck by Chance,tt0886539
Mangal Pandey: The Rising,tt0346457
Badrinath Ki Dulhania,tt6277440
Josh (2000 film),tt1746536
Shootout at Lokhandwala,tt0811066
Taxi No. 9211,tt0476884
Khatta Meetha (2010 film),tt1455811
Ankhon Dekhi,tt3614516
Parineeta (2005 film),null
Rangeela (1995 film),null
Mere Brother Ki Dulhan,tt1740710
MSG-2 The Messenger,tt4921860
Dhadak,tt7638344
Patiala House,tt1535467
Trapped (2016 Hindi film),null
Vivah,tt0494290
Son of Sardaar,tt2178508
Jagga Jasoos,tt4129428
Hichki,tt6588966
Ladies vs Ricky Bahl,tt1954598
The Dirty Picture,tt1954206
Yuva,tt0382383
Maqbool,tt0379370
Phantom (2015 film),tt4369330
Salaam Bombay!,tt0096028
Mother India,tt0050188
Agneepath (1990 film),tt26672915
Koyla,tt0136352
Baaghi 2,tt6843812
Shaitan,tt27412560
Jaan-E-Mann,tt0456481
Bol Bachchan,tt1728986
Ajnabee (2001 film),null
Himmatwala (2013 film),null
Heropanti,tt3142232
Judwaa 2,tt5456546
Manikarnika: The Queen of Jhansi,tt6903440
Mom,tt2660806
Golmaal Again,tt1806913
MSG: The Warrior Lion Heart,tt6040012
Chandni Chowk to China,tt1091229
Sachin: A Billion Dreams,tt4640206
Humshakals,tt3036740
Mission Mangal,tt9248972
Mohra,tt0110546
Awara Paagal Deewana,tt0319020
I Hate Luv Storys,tt1667838
Bhoothnath,tt0991346
Chup Chup Ke,tt0464160
Khoobsurat (2014 film),null
Singh Is Bliing,tt3696192
Saawariya,tt0758053
Main Tera Hero,tt2762334
Entertainment (2014 film),tt4072024
Socha Na Tha,tt0451919
Raju Ban Gaya Gentleman,tt0173102
Shubh Mangal Saavdhan,tt6971752
Veer (2010 film),tt0429493
Sarkar Raj,tt0490210
Roy,nm0001702
Singham Returns,tt2309764
Agent Vinod (2012 film),tt3510552
Guide,tt0371724
Dedh Ishqiya,tt2675978
Rocky Handsome,tt3410408
Shamitabh,tt3836958
Duplicate (1998 film),null
Befikre,tt5108476
Mughal-e-Azam,tt0054098
Page 3,tt0443708
Delhi-6,tt1043451
Raja Hindustani,tt0117437
Golmaal Returns,tt1092005
Aag (2007 film),tt2253336
De Dana Dan,tt1255951
Dhadkan,tt0255111
Saathiya,tt0330843
